Category,Item name
"?","215 KG/REGULAR/1000 MM X 1000 MM"
"?","Cable"
"?","Cards"
"?","CCTV Live Monitoring"
"?","Pellets"
"?","Pipe with Accessories and fitting."
"?","PV 1276B"
"?","RTU 90"
"?","Satuterne"
"?","SILENT : GREY SILENT"
"?","STAND 4 FT"
"?","SU 11"
"?","SUN"
"?","TTB-Nelster"
"?","UPS & ITS BATTERY WARRANTY"
"?","Vision Panel Cutting"
"Civil","0.5MM COLOR COATED GALVALUME  SHEETS FOR ROOF, SIDE CLADDING 1.5M  FROM TOP OF ROOF ON BOTH LENGTH  WISE SIDES, NO SIDE CLADDING ON BOTH  GABLE END SIDES.  ALONG WITH  REQUIRED FLASHING  - OFF WHITE COLOR."
"Civil","0.5MM COLOR COATED GALVALUME  SHEETS ONLY WITH REQUIRED FLASHING  - OFF WHITE COLOR"
"Civil","1 MM THK DECKING SHEET"
"Civil","26 SWG COLOR COATED GALVALUME  FLASHING BRICK RED COLOR"
"Civil","26 SWG COLOR COATED GALVALUME  GUTTER BRICK RED COLOR"
"Civil","26 SWG COLOR COATED GALVALUME  SHEETS BRICK RED COLOR"
"Civil","6"" wide x 1 MTR long RCC half round cost"
"Civil","B-125/1000 MM X 1000 MM DI REGULAR CHMABER COVER"
"Civil","B-125/1200 MM X 1200 MM DI REGULAR CHMABER COVER"
"Civil","B-125/300 MM X 300 MM DI REGULAR CHMABER COVER"
"Civil","B-125/450 MM X 450 MM DI REGULAR CHMABER COVER"
"Civil","B-125/600 MM X 600 MM DI REGULAR CHMABER COVER"
"Civil","B-125/900 MM X 900 MM DI REGULAR CHMABER COVER"
"Civil","B-125/REGULAR/450 MM X 450 MM"
"Civil","B-125/REGULAR/600 MM DIA ROUND CHAMBER COVER"
"Civil","B-125/REGULAR/600 MM X 450 MM"
"Civil","B-125/REGULAR/600 MM X 600 MM"
"Civil","Bricks"
"Civil","BUILT UP, Anchot Bolt, Sag Road and Bracing with SA 2.5  Shot Blisting and Paint"
"Civil","CFB 50-75 KLD-T-FRP MHC 1200MM X 600MM - 2.5 TON FRP MANHOLE COVER WITH FRAME"
"Civil","CFB 50-75 KLD-T-FRP MHC 600MM X 600MM - 2.5 TON FRP MANHOLE COVER WITH FRAME"
"Civil","CHAMBER COVER"
"Civil","Chuna Powder Bags"
"Civil","D-400/1200 MM X 1200 MM DI REGULAR CHMABER COVER"
"Civil","D-400/450 MM X 450 MM DI REGULAR CHMABER COVER"
"Civil","D-400/600 MM X 600 MM DI REGULAR CHMABER COVER"
"Civil","D-400/800 MM X 600 MM DI REGULAR CHMABER COVER"
"Civil","D-400/REGULAR/900 MM X 600 MM"
"Civil","D-400/REGULAR/900 MM X 900 MM"
"Civil","DECK SHEET FLASHINGS"
"Civil","Design, Engineering, Fabrication Supply for  PRE-ENGINEERED CANOPY FOR YOUR  DHARAMPUR SITE. (Paint – Smoke Grey  Color – DTM – 120 DFT), LENGTH - 9.31 M O/O, SPAN - 3 M O/O"
"Civil","FUJI BOX CULVERT : 1000 MM (W) X 600 MM (H)  X 2000 MM (L)"
"Civil","FUJI BOX CULVERT : 2000 MM (W)  X 2000 MM (H)  X 2000 MM (L)"
"Civil","FUJI BOX CULVERT : 500 MM (W) X 500 MM (H)  X 2000 MM (L)"
"Civil","FUJI BOX CULVERT : 600 MM (W) X 600 MM (H)  X 2000 MM (L)"
"Civil","FUJI BOX CULVERT : 800 MM (W) X 800 MM (H)  X 2000 MM (L)"
"Civil","Gabion Box  1x1.5x1"
"Civil","Gabion Box  3x1x1"
"Civil","Gabion Box  4x1x0.5"
"Civil","Gabion Box 4x1.5x1"
"Civil","Gabion Box 4x1x1"
"Civil","Gabion: Zn+PVC//10x12 // Size: 1.5mx1mx0.5m"
"Civil","Gabion: Zn+PVC//10x12 // Size: 1.5mx1mx1m"
"Civil","Gabion: Zn+PVC//10x12 // Size: 2mx1mx1m"
"Civil","Gabion: Zn+PVC//10x12 // Size: 4mx1mx0.5m"
"Civil","Gabion: Zn+PVC//10x12 // Size: 4mx1mx1m"
"Civil","Geocell TCS-712mmx75mm"
"Civil","Lacing Wire"
"Civil","Lacing Wire @ 5% by weight"
"Civil","Lacing Wire: Zn+PVC Coated//(D: 2.2/3.2mm)-5% by weight"
"Civil","Metal Gabion - 2mx1.5mx1m ( 14.5 sqm)"
"Civil","Metal Gabion - 2mx1mx1m (11 sqm)"
"Civil","Metal Gabion - 4mx1mx1m (21 sqm)"
"Civil","METALIC EAVES GUTTER - OFF WHITE  COLOR."
"Civil","Nonwoven Geotextile PR-20"
"Civil","Nonwoven PP Geotextile TYPE-2"
"Civil","PRE ENGINEERED BUILDING"
"Civil","PRE-ENGINEERED LEANTO  STRUCTURE ( OFF WHITE COLOR )"
"Civil","PRE-ENGINEERED TERRACE STRUCTURE (Paint –  Smoke Grey Color – DTM – 120 DFT)"
"Civil","PU SHAPE DRAIN T-6 450 X 450"
"Civil","PU SHAPE DRAIN T-6 750 X 750"
"Civil","PU SHAPE DRAIN T-6 LID 750 X 750 B- SOLID"
"Civil","RA 30 KLD-T-FRP MHC 1200MM X 600MM - 2.5 TON FRP MANHOLE COVER WITH FRAME"
"Civil","RA 30 KLD-T-FRP MHC 600MM X 600MM - 2.5 TON FRP MANHOLE COVER WITH FRAME"
"Civil","RA 30 KLD-T-FRP MHC 750MM X 750MM - 2.5 TON FRP MANHOLE COVER WITH FRAME"
"Civil","RA 30 KLD-T-FRP MHC 900MM X 600MM - 2.5 TON FRP MANHOLE COVER WITH FRAME"
"Civil","RCC CHAMBER COVER WITH FRAME- 300MM X 300MM"
"Civil","Reinforcement Bars TMT Bars 10MM"
"Civil","Reinforcement Bars TMT Bars 12MM"
"Civil","Reinforcement Bars TMT Bars 16MM"
"Civil","Reinforcement Bars TMT Bars 8MM"
"Civil","Road Studs"
"Civil","RS 10-20 KLD-T-FRP MHC 600MM X 600MM - 2.5 TON FRP MANHOLE COVER WITH FRAME"
"Civil","T-FRP MHC 600MM X 600MM - 2.5 TON FRP MANHOLE COVER WITH FRAME"
"Civil","TMT Bars  10MM"
"Civil","TMT Bars  12MM"
"Civil","TMT Bars  16MM"
"Civil","TMT Bars  20MM"
"Civil","TMT Bars  25MM"
"Civil","TMT Bars  8MM"
"Civil","Trunking & Floor Raceways-50X50X5MM MS L ANGLE"
"Civil","White Cement"
"Civil","WHITE SAND"
"Electrical","1 - PHASE SPN  DOUBLE DOOR  DB :  12 WAY SPN DB"
"Electrical","1 - PHASE SPN  DOUBLE DOOR  DB :  16 WAY SPN DB"
"Electrical","1 - PHASE SPN  DOUBLE DOOR  DB :  8 WAY SPN DB"
"Electrical","1 - PHASE SPN DOUBLE DOOR DB :  18 WAY SPN DB"
"Electrical","1 - PHASE SPN DOUBLE DOOR DB : 6 WAY SPN DB"
"Electrical","1 MODULE : 1MODULE COVER PLATE"
"Electrical","1 MODULE COVER PLATE"
"Electrical","1 MODULE S.S METAL BOX"
"Electrical","1 WAY SWITCH : 10AMP 1 WAY SWITCH"
"Electrical","1 WAY SWITCH : 16 AMP 1 WAY SWITCH WITH INDICATOR"
"Electrical","1 WAY SWITCH : 25 AMP 1 WAY SWITCH WITH INDICATOR"
"Electrical","1-PH WHEATHR PROOF INDUSTRIAL POWER SOCKET WITH 16A 2P MCB"
"Electrical","1-PHASE INDUSTRIAL SOCKET WITH MCB"
"Electrical","1-WAY JUNCTION BOX"
"Electrical","1.1/2"" GLAND"
"Electrical","1.1/4"" GLAND"
"Electrical","1.1/8"" GLAND"
"Electrical","1.3/4"" GLAND"
"Electrical","1.5 SQ.MM COPPER FLEXIBLE FRLS WIRES"
"Electrical","1.5 SQ.MM COPPER PIN TYPE LUG"
"Electrical","1.5 sq.mm Ferrule Copper Crimp Pin type Connector – Insulated Cord Pin End Terminal (Black) Pack of 10"
"Electrical","1.5 SQ.MM FRLS COPPER  FLEXIBLE WIRES"
"Electrical","1.5SQ.MM COPPER CRIMP PIN TYPE CONNECTOR INSULATED CORD PIN"
"Electrical","1.5SQ.MM COPPER FLEXIBLE WIRES"
"Electrical","1.5SQ.MM COPPER PIN TYPE LUG"
"Electrical","1.5SQ.MM PIN TYPE LUG"
"Electrical","1.5SQ.MMX10CORE COPPER FLEXIBLE CABLE"
"Electrical","1"" GLAND"
"Electrical","1"" PVC GLAND(25mm)"
"Electrical","1"" Single Compression Gland"
"Electrical","10 AMP BELL PUSH SWITCH"
"Electrical","10 AMP ONE WAY SWITCH"
"Electrical","10 AMP ONE WAY SWITCH-10 AMP ONE WAY SWITCH"
"Electrical","10 AMP SWITCH ONE WAY"
"Electrical","10 KVA UPS"
"Electrical","10 KVA UPS BATTERY"
"Electrical","10 SQ.MM ALUMNIUM PIN TYPE LUG"
"Electrical","10 TO 20 AMP SINGLE PHASE BAKELITE CONNECTOR"
"Electrical","100 AMP MCB WITH ENCLOSURE"
"Electrical","100Amp 4-POLE MCCB"
"Electrical","102 (M) Porta Cabins-UPS Artis Brand 600VA @ 1822:00"
"Electrical","104 (M) Site Prelims Electrical Works-1.5mm 2 CORE WIRE"
"Electrical","104 (M) Site Prelims Electrical Works-MCB SWITCH (SINGLE POLE)"
"Electrical","105 (M) Site Prelims Plumbing Works-MOTOR CABLE 2.5mm 3 CORE"
"Electrical","105 (M) Site Prelims Plumbing Works-MOTOR CABLE 4.0mm 3 CORE"
"Electrical","105 (M) Site Prelims Plumbing Works-PENAL BOARD L&T DMC DOL"
"Electrical","106 (M) Labour Camps-100A ICTP SWITCH"
"Electrical","106 (M) Labour Camps-25MM : PIN TYPE LUGS"
"Electrical","106 (M) Labour Camps-25MM : RING TYPE LUGS"
"Electrical","106 (M) Labour Camps-ALUMINIUM 3.5Cx25SQ.MM CABLE"
"Electrical","106 (M) Labour Camps-ENERGY METER: 3PHASE"
"Electrical","106 (M) Labour Camps-MCB : 63A 4POLE"
"Electrical","109 (M) Utility Disconnection & Utility Relocation-Cable 4 Core 2.5mm"
"Electrical","109 (M) Utility Disconnection & Utility Relocation-Starter Dol(Relay Range 2.5 to 7A"
"Electrical","10A TWO SWITCH"
"Electrical","10Amp 2-WAY SWITCH"
"Electrical","10AMP ONE WAY SWITCH"
"Electrical","10AMP SP MCB"
"Electrical","10Amp SP MCB C'CURVE"
"Electrical","10Amp SWITCH ONE WAY"
"Electrical","10SQ.MM COPPER PIN TYPE LUG"
"Electrical","11 kb Bidirectional meter, MAKE-SECURE"
"Electrical","11 KV INDOOR TYPE HT CABLE TERMINATION KIT"
"Electrical","11 KV OUTDOOR TYPE HT CABLE TERMINATION KIT"
"Electrical","11KV HTMC PANEL :- OUTDOOR TYPE"
"Electrical","11KV INSULATIONG HT RUBBER MAT"
"Electrical","12 MODULE : 12MODULE COVER PLATE"
"Electrical","12-WAY ETPN DB PPI KIT"
"Electrical","12-WAY SPN DB"
"Electrical","120 SQ.MM ALUMINIUM RING TYPE LUG"
"Electrical","120SQ.MM AL RING TYPE LUG"
"Electrical","120SQ.MM ALUMNIUNM RING TYPE LUG"
"Electrical","13 AMP INTERNATIONAL SOCKET"
"Electrical","13 AMP UNIVERSAL SOCKET"
"Electrical","13AMP UNIVERSAL SOCKET 3PIN"
"Electrical","150 SQ.MM ALUMINIUM RING TYPE LUG"
"Electrical","150SQ.MM AL RING TYPE LUG"
"Electrical","16 AMP ONE WAY SWITCH WITH INDICATOR"
"Electrical","16 MODULE : 16MODULE COVER PLATE"
"Electrical","16 MODULE COVER PLATE"
"Electrical","16 SQ.MM ALUMINIUM PIN TYPE LUG"
"Electrical","16 SQ.MM ALUMINIUM RING TYPE LUG"
"Electrical","16 SQ.MM ALUMINUIM CABLE PIN TYPE LUG."
"Electrical","16 SQ.MM ALUMINUIM CABLE RING TYPE LUG."
"Electrical","16A ONE WAY SWITCH WITH INDICATOR"
"Electrical","16A, 1ɸ, 3 PIN, IP 65 INDUSTRIAL SOCKETS OUTLET."
"Electrical","16A, 240V, 1Ph, 3Pin Industrial Switch Socket Outlet"
"Electrical","16A, 415V, 3PH, 5Pin Industrial Switch Socket Outlet"
"Electrical","16AMP SP MCB"
"Electrical","16Amp SP MCB C'CURVE"
"Electrical","16AMP SWITCH ONE WAY WITH INDICATOR"
"Electrical","16Amp TPN MCB C'CURVE"
"Electrical","16MM ALUMINIUM PIN LUG."
"Electrical","16MM ALUMINIUM RING LUG."
"Electrical","16SQ.MM AL RING TYPE LUG"
"Electrical","16SQ.MM ALUMNIUM RING TYPE LUG"
"Electrical","185 SQ.MM ALUMINUIM CABLE RING TYPE LUG."
"Electrical","185SQ.MM AL RING TYPE LUG"
"Electrical","185SQ.MM ALUMINIUM RING TYPE LUG"
"Electrical","1C X 16 SQ.MM COPPER FLEXIBLE CABLE"
"Electrical","1C X 50 SQ.MM COPPER CABLE"
"Electrical","1C X 70 SQ.MM COPPER CABLE"
"Electrical","1F-LTG-HVAC-MED&RAW POWER PANEL"
"Electrical","1WAY SWITCH WITH INDICATOR-16AMP"
"Electrical","1WAY SWITCH WITH INDICATOR-25AMP"
"Electrical","1WAY SWITCH- 6AMP"
"Electrical","2 MODULE : 2MODULE COVER PLATE"
"Electrical","2 MODULE COVER  PLATE"
"Electrical","2 MODULE S.S METAL BOX"
"Electrical","2 MODULE SURFACE BOX"
"Electrical","2 MODULE TYPE : 25 AMP AC STARTER"
"Electrical","2 MOUDLE COVER PLATE"
"Electrical","2 POLE RCBO : 25 AMP - 30mA"
"Electrical","2 POLE RCBO : 32 AMP - 30mA"
"Electrical","2 POLE RCCB : 25 AMP - 100 mA"
"Electrical","2 POLE RCCB : 40 AMP - 100 mA"
"Electrical","2 POLE RCCB : 63 AMP - 100 mA"
"Electrical","2 POLE RCCB : 63 AMP - 100mA 'C' CURVE"
"Electrical","2 WAY SWITCH : 10 AMP TWO WAY SWITCH"
"Electrical","2-way junction box-black"
"Electrical","2-way junction box-white"
"Electrical","2-WAY JUNCTION BOX."
"Electrical","2.1/5"" GLAND"
"Electrical","2.5 SQ.MM COPPER FLEXIBLE FRLS WIRES"
"Electrical","2.5 SQ.MM COPPER PIN TYPE LUG"
"Electrical","2.5 sq.mm Ferrule Copper Crimp Connector – Insulated Cord Pin End Terminal (Black) Pack of 10"
"Electrical","2.5 SQ.MM FRLS COPPER FLEXIBLE WIRES"
"Electrical","2.5SQ.MM COPPER  PIN TYPE LUG"
"Electrical","2.5SQ.MM COPPER CRIMP PIN TYPE CONNECTOR INSULATED CORD PIN"
"Electrical","2.5SQ.MM COPPER FLEXIBLE WIRES"
"Electrical","2"" GLAND"
"Electrical","200 KVA UPS"
"Electrical","200 KVA UPS BATTERY"
"Electrical","200 KVA UPS DC BREAKER"
"Electrical","20AMP ONE WAY SWITCH WITH INDICATOR"
"Electrical","20AMP POWER SOCKET"
"Electrical","20AMP SP MCB"
"Electrical","240SQ.MM AL RING TYPE LUG"
"Electrical","25 Amp ELCB (300mA) With Its Enclosures"
"Electrical","250 AMP ALUMINUM BUSBAR"
"Electrical","250 AMP SFU SWITCH"
"Electrical","250 KVA SILENT DG SET"
"Electrical","25A 240V MCB WITH ENCLOSURE BOX"
"Electrical","25A ONE WAY  SWITCH WITH INDICATOR"
"Electrical","25A POWER SOCKET"
"Electrical","25A/4P/30mA/RCCB WITH ENCL."
"Electrical","25AMP 2POLE 10kA MCB WITH ENCLOUSER"
"Electrical","25Amp SP MCB C'CURVE"
"Electrical","25AMP,2P RCCB 30mA"
"Electrical","25AMP,2P RCCB 30mA WITH ENLC"
"Electrical","25MM : PVC CONDUITE MMS TYPE"
"Electrical","25MM 1-WAY JUCTION BOX"
"Electrical","25MM 2-WAY JUCTION BOX"
"Electrical","25MM 3-WAY JUCTION BOX"
"Electrical","25MM 4-WAY JUCTION BOX"
"Electrical","25MM ALUMINIUM PIN LUG."
"Electrical","25mm bend black"
"Electrical","25mm bend white"
"Electrical","25mm conduite black"
"Electrical","25mm conduite white"
"Electrical","25MM CONDUITS MMS TYPE-BLACK"
"Electrical","25mm coupler"
"Electrical","25mm coupler white"
"Electrical","25mm JUNCTION BOX COVER PLATER WITH SCREW-BLACK"
"Electrical","25mm JUNCTION BOX COVER PLATER WITH SCREW-WHITE"
"Electrical","25MM PVC ELBOW"
"Electrical","25SQ.MM AL RING TYPE LUG"
"Electrical","25SQ.MM ALUMNIUM RING TYPE LUG"
"Electrical","2C X 1.5 SQ.MM SHILDED COPPER CONTROL CABLE"
"Electrical","2M COVER PLATE WITH BOX"
"Electrical","2MODULE FAN REGULATORS"
"Electrical","3 - PHASE PPI TYPE  DOUBLE DOOR  DB :  12 WAY ETPN WITH PPI KIT"
"Electrical","3 - PHASE PPI TYPE  DOUBLE DOOR  DB :  16 WAY ETPN WITH PPI KIT"
"Electrical","3 - PHASE PPI TYPE  DOUBLE DOOR  DB :  4 WAY ETPN WITH PPI KIT"
"Electrical","3 - PHASE PPI TYPE  DOUBLE DOOR  DB :  6 WAY ETPN WITH PPI KIT"
"Electrical","3 - PHASE PPI TYPE  DOUBLE DOOR  DB :  8 WAY ETPN WITH PPI KIT"
"Electrical","3 - PHASE VTPN DOUBLE DOOR DB :  12 WAY VTPN DB"
"Electrical","3 - PHASE VTPN DOUBLE DOOR DB :  6 WAY VTPN DB"
"Electrical","3 - PHASE VTPN DOUBLE DOOR DB :  8 WAY VTPN DB"
"Electrical","3 MODULE : 3MODULE COVER PLATE"
"Electrical","3 MODULE COVER PLATE"
"Electrical","3 MODULE S.S METAL BOX"
"Electrical","3 MOUDLE COVER PLATE"
"Electrical","3 POLE TP MCBs : 16 AMP 'C' CURVE"
"Electrical","3 POLE TP MCBs : 32 AMP 'C' CURVE"
"Electrical","3-PHASE DOUBLE DOOR TYPE :  8-WAY ETPN DB WITH KIT"
"Electrical","3-PHASE DOUBLE DOOR TYPE : 12-WAY ETPN DB WITH KIT"
"Electrical","3-PHASE DOUBLE DOOR TYPE : 6-WAY VTPN DB"
"Electrical","3-PHASE DOUBLE DOOR TYPE : 8-WAY VTPN DB"
"Electrical","3-PHASE INDUSTRIAL SOCKET WITH MCB"
"Electrical","3-way junction box-black"
"Electrical","3-way junction box-white"
"Electrical","3-WAY JUNCTION BOX."
"Electrical","3.5 X 120SQ.MM ALUMINIUM XLPE ARMOURED CABLE"
"Electrical","3.5C X 150 SQ.MM XLPE AL. ARMOURE FRLS  CABLE"
"Electrical","3.5C X 185 SQ.MM XLPE ALLUMINIUM ARMOURED CABLE GLAND"
"Electrical","3.5C X 240 SQ.MM XLPE AL. ARMOURE FRLS  CABLE"
"Electrical","3.5C X 25SQ.MM ALUMINIUM XLPE ARMOURED CABLE"
"Electrical","3.5C X 35SQ.MM ALUMNIUM XLPE ARMURED CABLE"
"Electrical","3.5C X 50SQ.MM ALUMINIUM XLPE ARMOURED CABLE"
"Electrical","3.5C X185 SQ.MM ALUMINIUM ARMOURED XLPE CABLE"
"Electrical","3/4 MCB BOX IP60"
"Electrical","3/4"" Single Compression Gland"
"Electrical","30 KVA UPS"
"Electrical","30 KVA UPS BATTERY"
"Electrical","32 Amp ELCB (300mA) With Its Enclosures"
"Electrical","32 Amp FP MCB,10kA"
"Electrical","32 AMP THREE PHASE MCB WITH WEATHER PROOF PLEXO BOX"
"Electrical","320 AMP ISOLATER PANEL"
"Electrical","32A - 3PHASE WHEATHER PROOF INDUSTRIAL POWER SOCKET WITH MCB"
